T E X A S  E D U C A T I O N  A G E N C Y

PEIMS Student Enrollment Data for 2012-2013

"Year","Region","County Name","District Name","District Number","Charter Status","Gender Name","Enrollment by Gender"
"2012-2013",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Female",267
"2012-2013",10,"DALLAS COUNTY","A W BROWN-FELLOWSHIP LEADERSHIP AC",057816,"OPEN ENROLLMENT CHARTER","Male",253
"2012-2013",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Female",518
"2012-2013",10,"DALLAS COUNTY","A+ ACADEMY",057829,"OPEN ENROLLMENT CHARTER","Male",470
"2012-2013",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Female",131
"2012-2013",12,"HILL COUNTY","ABBOTT ISD",109901,"TRADITIONAL ISD/CSD","Male",145
"2012-2013",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Female",361
"2012-2013",17,"HALE COUNTY","ABERNATHY ISD",095901,"TRADITIONAL ISD/CSD","Male",406
"2012-2013",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Female",8280
"2012-2013",14,"TAYLOR COUNTY","ABILENE ISD",221901,"TRADITIONAL ISD/CSD","Male",8872
"2012-2013",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Female",84
"2012-2013",10,"DALLAS COUNTY","ACADEMY FOR ACADEMIC EXCELLENCE",057814,"OPEN ENROLLMENT CHARTER","Male",495
"2012-2013",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Female",545
"2012-2013",12,"BELL COUNTY","ACADEMY ISD",014901,"TRADITIONAL ISD/CSD","Male",631
"2012-2013",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Female",371
"2012-2013",04,"HARRIS COUNTY","ACADEMY OF ACCELERATED LEARNING IN",101810,"OPEN ENROLLMENT CHARTER","Male",371
"2012-2013",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Female",101
"2012-2013",20,"BEXAR COUNTY","ACADEMY OF CAREERS AND TECHNOLOGIE",015816,"OPEN ENROLLMENT CHARTER","Male",91
"2012-2013",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Female",282
"2012-2013",10,"DALLAS COUNTY","ACADEMY OF DALLAS",057810,"OPEN ENROLLMENT CHARTER","Male",335
"2012-2013",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Female",129
"2012-2013",04,"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY",101849,"OPEN ENROLLMENT CHARTER","Male",124
"2012-2013",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Female",69
"2012-2013",16,"OLDHAM COUNTY","ADRIAN ISD",180903,"TRADITIONAL ISD/CSD","Male",65
"2012-2013",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Female",988
"2012-2013",10,"DALLAS COUNTY","ADVANTAGE ACADEMY",057806,"OPEN ENROLLMENT CHARTER","Male",984
"2012-2013",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Female",178
"2012-2013",02,"NUECES COUNTY","AGUA DULCE ISD",178901,"TRADITIONAL ISD/CSD","Male",190
"2012-2013",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Female",2365
"2012-2013",20,"BEXAR COUNTY","ALAMO HEIGHTS ISD",015901,"TRADITIONAL ISD/CSD","Male",2443
"2012-2013",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Female",404
"2012-2013",07,"WOOD COUNTY","ALBA-GOLDEN ISD",250906,"TRADITIONAL ISD/CSD","Male",441
"2012-2013",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Female",253
"2012-2013",14,"SHACKELFORD COUNTY","ALBANY ISD",209901,"TRADITIONAL ISD/CSD","Male",250
"2012-2013",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Female",31997
"2012-2013",04,"HARRIS COUNTY","ALDINE ISD",101902,"TRADITIONAL ISD/CSD","Male",33687
"2012-2013",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Female",2275
"2012-2013",11,"PARKER COUNTY","ALEDO ISD",184907,"TRADITIONAL ISD/CSD","Male",2458
"2012-2013",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Female",2655
"2012-2013",02,"JIM WELLS COUNTY","ALICE ISD",125901,"TRADITIONAL ISD/CSD","Male",2824
"2012-2013",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Female",22096
"2012-2013",04,"HARRIS COUNTY","ALIEF ISD",101903,"TRADITIONAL ISD/CSD","Male",23687
"2012-2013",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Female",149
"2012-2013",04,"HARRIS COUNTY","ALIEF MONTESSORI COMMUNITY SCHOOL",101815,"OPEN ENROLLMENT CHARTER","Male",148
"2012-2013",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Female",9632
"2012-2013",10,"COLLIN COUNTY","ALLEN ISD",043901,"TRADITIONAL ISD/CSD","Male",10262
"2012-2013",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Female",58
"2012-2013",10,"DALLAS COUNTY","ALPHA CHARTER SCHOOL",057832,"OPEN ENROLLMENT CHARTER","Male",69
"2012-2013",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Female",516
"2012-2013",18,"BREWSTER COUNTY","ALPINE ISD",022901,"TRADITIONAL ISD/CSD","Male",577
"2012-2013",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Female",336
"2012-2013",07,"CHEROKEE COUNTY","ALTO ISD",037901,"TRADITIONAL ISD/CSD","Male",333
"2012-2013",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Female",1628
"2012-2013",11,"JOHNSON COUNTY","ALVARADO ISD",126901,"TRADITIONAL ISD/CSD","Male",1828
"2012-2013",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Female",9214
"2012-2013",04,"BRAZORIA COUNTY","ALVIN ISD",020901,"TRADITIONAL ISD/CSD","Male",9672
"2012-2013",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Female",347
"2012-2013",11,"WISE COUNTY","ALVORD ISD",249901,"TRADITIONAL ISD/CSD","Male",357
"2012-2013",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Female",16291
"2012-2013",16,"POTTER COUNTY","AMARILLO ISD",188901,"TRADITIONAL ISD/CSD","Male",17036
"2012-2013",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Female",161
"2012-2013",04,"GALVESTON COUNTY","AMBASSADORS PREPARATORY ACADEMY",084804,"OPEN ENROLLMENT CHARTER","Male",173
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"OPEN ENROLLMENT CHARTER","Female",77
"2012-2013",13,"TRAVIS COUNTY","AMERICAN YOUTHWORKS CHARTER SCHOOL",227801,"OPEN ENROLLMENT CHARTER","Male",48
"2012-2013",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Female",74
"2012-2013",17,"LAMB COUNTY","AMHERST ISD",140901,"TRADITIONAL ISD/CSD","Male",89
"2012-2013",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Female",255
"2012-2013",04,"HARRIS COUNTY","AMIGOS POR VIDA-FRIENDS FOR LIFE P",101819,"OPEN ENROLLMENT CHARTER","Male",255
"2012-2013",04,"CHAMBERS COUNTY","ANAHUAC ISD",036901,"TRADITIONAL ISD/CSD","Female",599
